date,TARGET_VIX_TERM_STRUCTURE,TARGET_REALIZED_VS_IMPLIED,TARGET_CROSS_ASSET_CORRELATION,TARGET_VOLATILITY_DISPERSION,TARGET_VOL_OF_VOL_RATIO,REALIZED_VOL_30D
2015-05-27,1.7200000000000006,,,-7.776666666666667,5.862094951017333,
2015-05-28,1.6999999999999993,,,-7.789999999999997,5.811419984973703,
2015-05-29,1.540000000000001,,,-7.289999999999999,5.7131502890173405,
2015-06-01,1.4399999999999995,,,-7.323333333333336,5.647100930565498,
2015-06-02,1.4700000000000006,,,-6.8533333333333335,5.660814606741573,
2015-06-03,1.6999999999999993,,,-7.416666666666664,5.80307467057101,
2015-06-04,1.5700000000000003,,,-7.456666666666667,5.981645139360978,
2015-06-05,1.75,,,-7.573333333333331,5.9183673469387745,
2015-06-08,1.3100000000000023,,,-7.290000000000003,5.657292347939831,
2015-06-09,1.7799999999999994,,,-7.999999999999998,5.828610919143054,
2015-06-10,2.1099999999999994,,,-7.5366666666666635,6.172465960665657,
2015-06-11,2.25,,,-7.833333333333334,6.189105058365759,
2015-06-12,1.83,,,-7.133333333333331,6.2082728592162555,
2015-06-15,1.2300000000000004,,,-5.953333333333333,6.245614035087719,
2015-06-16,1.3899999999999988,,,-6.33333333333333,6.479405806887238,
2015-06-17,1.7199999999999989,,,-6.34,6.426896551724138,
2015-06-18,2.25,,,-7.453333333333331,6.762699014404853,
2015-06-19,1.9499999999999993,,,-6.313333333333333,6.601719197707736,
2015-06-22,2.25,,,-7.416666666666666,6.583202511773941,
2015-06-23,2.4299999999999997,2.7022057269730233,0.3990735175185445,-8.866666666666664,6.511147811725846,9.407794273026976
2015-06-24,1.92,3.696370656844568,0.4243884915635787,-8.57666666666667,6.223981900452489,9.563629343155432
2015-06-25,1.5099999999999998,4.618450205492097,0.38666279678030124,-8.286666666666667,5.960742326909351,9.391549794507903
2015-06-26,1.4400000000000013,4.843577543982429,0.35266967097819096,-9.096666666666664,5.926533523537803,9.176422456017571
2015-06-29,-0.13000000000000256,7.621165458962432,0.27323252430339007,-8.226666666666663,6.206896551724138,11.22883454103757
2015-06-30,0.23999999999999844,7.1794310901504,0.2122781609442027,-7.926666666666666,6.043335161821174,11.0505689098496
2015-07-01,0.6999999999999993,5.000410558484759,0.2308322928935326,-9.40666666666667,6.065879428216283,11.08958944151524
2015-07-02,0.8900000000000006,5.915651790983933,0.2432837557883591,-8.57,6.262060750446695,10.874348209016066
2015-07-03,0.8900000000000006,6.118827324070896,0.2541795944389693,-8.57,6.262060750446695,10.671172675929103
2015-07-06,1.0299999999999976,6.483174901928736,0.3532130131854745,-10.193333333333332,6.22986478542034,10.526825098071265
2015-07-07,0.9299999999999997,5.567925405307971,0.386879798724625,-11.786666666666665,6.174642635177128,10.522074594692029
2015-07-08,-0.41000000000000014,8.52437226461228,0.5536714755113785,-12.326666666666668,5.680061037639878,11.13562773538772
2015-07-09,-0.18999999999999773,8.788960156654385,0.6477720060430779,-12.563333333333333,5.776664997496245,11.181039843345614
2015-07-10,0.9000000000000021,5.111613264354721,0.656850346800009,-13.220000000000002,6.0124777183600715,11.718386735645277
2015-07-13,2.039999999999999,1.7303589996697077,0.6313126248520649,-15.776666666666666,6.183453237410072,12.169641000330293
2015-07-14,2.0900000000000016,1.130164883240104,0.6144559335058928,-15.360000000000001,6.5332834704562455,12.239835116759895
